N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,18:09:22.206,36053,37537,41575,39037,36012,991,969,986,993,996,1638,1724,1443,1445,1699,2780,498,468,486,467,463,463,470,454,28.0
2,18:09:26.604,36280,37464,41359,38601,35681,988,967,985,993,995,1640,1721,1441,1448,1697,2780,497,467,487,468,465,463,462,454,28.0
3,18:09:30.943,36213,37458,41626,38674,35674,988,967,985,994,996,1640,1723,1441,1448,1698,2777,497,467,487,468,466,465,450,457,28.0
4,18:09:35.364,36276,37497,41503,38839,35732,989,969,985,992,996,1638,1722,1442,1446,1698,2780,498,467,487,466,466,461,453,457,28.0
5,18:09:39.723,36304,37482,41665,38828,35758,988,967,986,992,995,1638,1723,1441,1446,1696,2780,501,469,485,465,464,463,463,455,28.0
6,18:09:44.103,36363,37414,41608,38754,35732,987,969,986,993,993,1640,1723,1444,1447,1695,2780,502,470,485,466,463,463,453,451,28.0
7,18:09:48.484,36396,37379,41611,38771,35873,987,969,985,993,996,1638,1725,1443,1447,1697,2778,498,469,483,466,465,461,461,457,28.0
8,18:09:52.783,36434,37446,41486,38782,35694,987,970,985,994,998,1641,1721,1443,1448,1700,2778,499,466,487,466,463,466,468,455,28.0
9,18:09:57.084,36380,37527,41732,38810,35721,987,968,985,990,997,1640,1723,1444,1445,1698,2779,500,469,484,464,461,465,469,456,28.0
10,18:10:01.400,36415,37470,41722,38909,35788,988,967,985,992,995,1640,1722,1442,1446,1698,2779,502,466,486,466,461,463,470,455,28.0
11,18:10:08.684,36570,37684,41544,39156,35790,990,967,986,991,995,1638,1723,1443,1446,1698,2777,496,466,485,466,462,463,468,456,29.0
12,18:10:13.308,36216,37538,41553,38750,35766,987,969,984,993,995,1640,1721,1442,1444,1696,2775,499,466,486,467,463,465,469,454,29.0
13,18:10:17.646,36439,37642,41609,38881,35844,988,969,985,992,997,1639,1721,1443,1444,1697,2778,499,468,483,469,466,465,470,455,29.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
14,18:10:30.046,36212,37310,41513,38985,35841,990,968,985,994,995,1640,1720,1443,1446,1699,2777,498,468,484,466,463,462,472,457,29.0
15,18:10:34.506,36507,37448,41600,38804,35869,990,969,986,993,995,1639,1722,1443,1445,1697,2779,501,467,484,467,466,462,469,454,29.0
N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
16,18:10:48.426,990,969,981,991,998,1640,1720,1442,1447,1698,2777,501,468,484,467,468,464,468,454,29.0
17,18:10:52.823,992,966,983,993,996,1640,1722,1441,1445,1697,2777,499,467,485,466,464,497,471,456,29.0
18,18:10:57.266,989,966,985,990,997,1641,1720,1444,1449,1698,2778,500,467,487,468,465,463,466,454,29.0
19,18:11:01.695,988,969,986,990,995,1640,1723,1444,1444,1699,2775,499,468,482,466,466,464,466,455,29.0
20,18:11:06.109,989,967,983,991,995,1639,1720,1446,1446,1697,2776,501,468,483,467,464,465,470,455,29.0
21,18:11:13.624,990,967,985,989,996,1641,1721,1443,1445,1698,2776,499,465,485,468,465,484,469,453,29.0
22,18:11:18.124,988,967,985,992,996,1639,1720,1444,1447,1696,2776,498,467,486,466,463,463,466,452,30.0
23,18:11:22.546,988,969,985,992,997,1640,1721,1444,1446,1698,2776,496,468,485,467,463,465,467,452,30.0
24,18:11:26.963,987,970,986,992,995,1641,1720,1443,1445,1696,2776,499,467,483,466,466,463,470,457,30.0
N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
25,18:11:37.725,989,971,985,989,996,1641,1723,1445,1444,1698,2776,30.0
26,18:11:40.664,989,968,984,992,995,1638,1720,1445,1444,1697,2777,30.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,18:12:22.874,36243,37658,41480,39205,35820,987,969,984,991,995,1639,1721,1442,1445,1696,2777,500,470,483,465,461,461,470,457,30.0
2,18:12:27.224,36480,37352,41565,38989,35882,990,970,984,991,993,1639,1719,1443,1445,1697,2776,501,468,486,467,465,461,467,452,30.0
3,18:12:31.518,36277,37515,41755,38944,35743,989,966,983,995,994,1638,1722,1442,1443,1697,2777,502,468,486,465,461,464,472,457,30.0
4,18:12:35.843,36384,37461,41701,38811,35820,990,965,985,989,996,1635,1724,1441,1446,1700,2778,498,470,483,467,465,461,470,456,30.0
5,18:12:40.164,36353,37472,41535,38906,35825,990,966,984,993,994,1640,1723,1441,1446,1702,2777,500,469,484,466,466,462,466,456,30.0
6,18:12:44.509,36324,37542,41659,38829,35784,989,969,985,991,995,1640,1722,1441,1446,1701,2777,498,466,483,467,465,464,470,454,30.0
7,18:12:48.852,36560,37550,41573,38899,36016,988,966,985,994,992,1640,1722,1440,1445,1699,2777,502,466,485,469,467,464,468,456,30.0
8,18:12:53.245,36406,37488,41803,38806,35813,988,968,986,990,995,1638,1719,1445,1447,1699,2780,498,467,485,467,466,467,467,455,31.0
9,18:12:57.544,36278,37456,41676,38780,35963,987,970,986,992,994,1639,1721,1443,1445,1700,2778,499,468,485,468,462,460,469,454,31.0
10,18:13:01.805,36383,37362,41703,38876,35989,988,969,984,992,997,1639,1719,1445,1446,1702,2779,500,467,485,467,464,466,467,456,31.0
11,18:13:08.907,36165,37648,41658,39010,35746,990,965,986,991,996,1641,1721,1443,1447,1699,2776,499,469,484,468,463,466,469,454,31.0
12,18:13:13.330,36214,37568,41742,38826,36050,990,969,987,993,995,1640,1719,1442,1447,1699,2776,497,466,485,467,463,463,469,454,31.0
13,18:13:17.726,36391,37741,41681,38901,35841,989,970,982,993,995,1641,1724,1444,1445,1699,2777,501,467,487,464,464,463,470,454,31.0
14,18:13:22.045,36434,37464,41515,38816,36041,990,968,982,992,995,1641,1722,1443,1448,1699,2779,500,467,483,466,462,463,469,457,31.0
15,18:13:26.389,36386,37532,41679,38778,36027,989,967,985,994,994,1641,1720,1444,1445,1699,2777,499,466,485,465,468,464,468,452,31.0
16,18:13:30.891,36467,37498,41751,38985,35857,989,969,986,992,996,1640,1721,1443,1448,1698,2779,501,467,484,467,467,467,467,453,31.0
17,18:13:35.245,36245,37593,41756,39001,35997,989,968,986,994,995,1640,1719,1441,1445,1697,2776,498,469,485,465,462,461,468,455,31.0
18,18:13:39.546,36478,37460,41575,38884,36034,990,969,985,989,992,1640,1723,1443,1446,1699,2778,497,467,484,467,462,463,469,456,31.0
N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
19,18:13:52.329,990,969,983,990,995,1642,1720,1445,1446,1697,2776,499,471,486,465,467,465,469,455,31.0
20,18:13:56.667,989,967,983,992,995,1639,1720,1441,1447,1696,2778,501,467,487,466,468,463,466,452,31.0
